gndr,age_cat,eduyrs_cat,cntry,work_status,occupation,polscale,trust_cat,internet_use
1,71+,13-15,AT,Autre,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
2,71+,16-20,AT,Autre,Artisans/Métiers,Centre-gauche,Faible,Quotidiennement
2,56-70,9-12,AT,Autre,Professions intellectuelles,Centre-gauche,Élevée,Régulièrement
2,26-40,13-15,AT,Employé,Employés administratifs,Centre-gauche,Très élevée,Régulièrement
1,71+,13-15,AT,Autre,Professions élémentaires,Centre-droite,Très élevée,Quotidiennement
2,71+,<9,AT,Autre,Agriculture/Pêche,Centre-gauche,Élevée,Rarement
1,18-25,9-12,AT,Employé,Services/Vente,Gauche,Très élevée,Quotidiennement
1,56-70,9-12,AT,Employé,Opérateurs/Assembleurs,Centre-gauche,Élevée,Quotidiennement
1,26-40,13-15,AT,Employé,Professions élémentaires,Droite,Très élevée,Quotidiennement
2,41-55,13-15,AT,Employé,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
1,41-55,9-12,AT,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
1,41-55,13-15,AT,Employé,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
1,56-70,13-15,AT,Autre,Artisans/Métiers,Centre-gauche,Très élevée,Quotidiennement
1,18-25,<9,AT,Autre,Professions élémentaires,Centre-droite,Très faible,Quotidiennement
1,26-40,9-12,AT,Employé,Agriculture/Pêche,Centre-droite,Élevée,Régulièrement
1,26-40,9-12,AT,Employé,Services/Vente,Gauche,Très élevée,Quotidiennement
1,26-40,9-12,AT,Employé,Services/Vente,Centre-droite,Élevée,Quotidiennement
1,71+,9-12,AT,Autre,Cadres/Dirigeants,Centre-droite,Faible,Quotidiennement
1,56-70,9-12,AT,Employé,Artisans/Métiers,Gauche,Très élevée,Quotidiennement
1,56-70,9-12,AT,Employé,Artisans/Métiers,Droite,Très élevée,Quotidiennement
2,71+,16-20,AT,Employé,Professions intellectuelles,Centre-gauche,Faible,Quotidiennement
1,26-40,13-15,AT,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
2,71+,<9,AT,Autre,Professions élémentaires,Centre-gauche,Élevée,Rarement
2,71+,9-12,AT,Autre,Employés administratifs,Centre-gauche,Élevée,Régulièrement
1,41-55,16-20,AT,Employé,Cadres/Dirigeants,Gauche,Élevée,Quotidiennement
1,71+,9-12,AT,Autre,Employés administratifs,Gauche,Élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Employés administratifs,Centre-gauche,Très élevée,Régulièrement
1,26-40,9-12,AT,Autre,Services/Vente,Centre-droite,Faible,Quotidiennement
1,18-25,9-12,AT,Employé,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
1,56-70,9-12,AT,Autre,Professions élémentaires,Centre-droite,Très faible,Rarement
1,56-70,<9,AT,Employé,Services/Vente,Centre-gauche,Faible,Rarement
2,41-55,9-12,AT,Employé,Services/Vente,Centre-gauche,Faible,Quotidiennement
1,56-70,13-15,AT,Employé,Artisans/Métiers,Gauche,Faible,Quotidiennement
2,71+,9-12,AT,Autre,Employés administratifs,Centre-droite,Très élevée,Quotidiennement
2,71+,13-15,AT,Autre,Professions intellectuelles,Centre-gauche,Très élevée,Régulièrement
2,71+,16-20,AT,Autre,Professions intellectuelles,Gauche,Élevée,Quotidiennement
2,26-40,9-12,AT,Employé,Services/Vente,Centre-gauche,Faible,Quotidiennement
1,41-55,9-12,AT,Employé,Professions élémentaires,Centre-gauche,Très élevée,Quotidiennement
1,56-70,13-15,AT,Employé,Opérateurs/Assembleurs,Droite,Très faible,Quotidiennement
2,56-70,9-12,AT,Autre,Services/Vente,Centre-gauche,Faible,Quotidiennement
1,56-70,<9,AT,Autre,Professions intermédiaires,Centre-gauche,Élevée,Rarement
2,56-70,16-20,AT,Autre,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,56-70,9-12,AT,Autre,Professions intellectuelles,Gauche,Faible,Quotidiennement
2,41-55,9-12,AT,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
1,56-70,9-12,AT,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Employés administratifs,Centre-gauche,Très élevée,Régulièrement
1,26-40,16-20,AT,Employé,Professions intellectuelles,Centre-droite,Élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Employés administratifs,Gauche,Très élevée,Quotidiennement
1,41-55,13-15,AT,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
2,26-40,9-12,AT,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
2,41-55,13-15,AT,Autre,Services/Vente,Centre-droite,Faible,Régulièrement
2,26-40,16-20,AT,Employé,Professions élémentaires,Gauche,Faible,Quotidiennement
1,41-55,13-15,AT,Employé,Services/Vente,Droite,Faible,Quotidiennement
1,41-55,16-20,AT,Employé,Artisans/Métiers,Centre-gauche,Très élevée,Quotidiennement
1,41-55,13-15,AT,Employé,Artisans/Métiers,Centre-droite,Élevée,Régulièrement
1,41-55,9-12,AT,Employé,Artisans/Métiers,Centre-gauche,Élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
1,41-55,9-12,AT,Employé,Services/Vente,Centre-droite,Faible,Quotidiennement
2,26-40,<9,AT,Employé,Services/Vente,Centre-droite,Élevée,Quotidiennement
1,18-25,13-15,AT,Employé,Professions intellectuelles,Centre-gauche,Faible,Quotidiennement
1,41-55,9-12,AT,Employé,Services/Vente,Droite,Très élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Services/Vente,Centre-droite,Très élevée,Quotidiennement
2,71+,13-15,AT,Autre,Cadres/Dirigeants,Centre-gauche,Très élevée,Régulièrement
1,56-70,13-15,AT,Employé,Cadres/Dirigeants,Centre-gauche,Très élevée,Quotidiennement
1,56-70,13-15,AT,Autre,Professions intermédiaires,Centre-gauche,Élevée,Régulièrement
2,41-55,13-15,AT,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
2,56-70,16-20,AT,Employé,Professions intermédiaires,Gauche,Faible,Quotidiennement
1,71+,9-12,AT,Autre,Artisans/Métiers,Centre-droite,Élevée,Rarement
1,41-55,16-20,AT,Employé,Professions intellectuelles,Droite,Très élevée,Quotidiennement
2,71+,16-20,AT,Autre,Professions intellectuelles,Centre-droite,Élevée,Régulièrement
2,71+,<9,AT,Autre,Agriculture/Pêche,Droite,Élevée,Régulièrement
2,71+,<9,AT,Autre,Services/Vente,Centre-droite,Faible,Quotidiennement
2,41-55,<9,AT,Employé,Professions élémentaires,Droite,Élevée,Quotidiennement
1,18-25,9-12,AT,Autre,Agriculture/Pêche,Centre-gauche,Très élevée,Quotidiennement
2,56-70,9-12,AT,Employé,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,71+,<9,AT,Autre,Agriculture/Pêche,Centre-gauche,Élevée,Rarement
2,41-55,13-15,AT,Employé,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
1,41-55,16-20,AT,Employé,Agriculture/Pêche,Centre-droite,Faible,Quotidiennement
1,56-70,<9,AT,Autre,Opérateurs/Assembleurs,Centre-droite,Très élevée,Rarement
2,71+,9-12,AT,Autre,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
1,56-70,16-20,AT,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
2,41-55,16-20,AT,Employé,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
2,26-40,9-12,AT,Employé,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
2,26-40,9-12,AT,Autre,Services/Vente,Centre-gauche,Faible,Quotidiennement
2,56-70,9-12,AT,Autre,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
1,56-70,9-12,AT,Autre,Opérateurs/Assembleurs,Centre-droite,Très élevée,Quotidiennement
1,18-25,9-12,AT,Employé,Professions intermédiaires,Centre-gauche,Faible,Quotidiennement
1,41-55,13-15,AT,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
2,56-70,<9,AT,Autre,Professions élémentaires,Centre-droite,Très élevée,Régulièrement
1,56-70,16-20,AT,Employé,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
1,71+,9-12,AT,Autre,Professions élémentaires,Centre-gauche,Très faible,Quotidiennement
1,71+,9-12,AT,Autre,Opérateurs/Assembleurs,Centre-droite,Faible,Quotidiennement
2,26-40,9-12,AT,Employé,Professions intellectuelles,Centre-droite,Très élevée,Régulièrement
1,56-70,9-12,AT,Autre,Professions intellectuelles,Gauche,Élevée,Quotidiennement
1,71+,<9,AT,Autre,Agriculture/Pêche,Centre-droite,Très élevée,Rarement
2,71+,13-15,AT,Autre,Employés administratifs,Centre-gauche,Faible,Quotidiennement
2,26-40,13-15,AT,Autre,Professions intellectuelles,Gauche,Faible,Régulièrement
2,71+,9-12,AT,Autre,Services/Vente,Centre-droite,Élevée,Rarement
1,56-70,9-12,AT,Employé,Opérateurs/Assembleurs,Centre-gauche,Très élevée,Quotidiennement
2,26-40,13-15,AT,Employé,Professions intermédiaires,Gauche,Très élevée,Quotidiennement
2,56-70,16-20,AT,Autre,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,41-55,9-12,AT,Employé,Professions intermédiaires,Centre-gauche,Très faible,Quotidiennement
1,56-70,<9,AT,Autre,Opérateurs/Assembleurs,Centre-droite,Très faible,Quotidiennement
2,56-70,13-15,AT,Autre,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Agriculture/Pêche,Centre-gauche,Faible,Rarement
1,41-55,13-15,AT,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
1,71+,13-15,AT,Autre,Cadres/Dirigeants,Centre-gauche,Élevée,Quotidiennement
2,41-55,13-15,AT,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
2,56-70,9-12,AT,Employé,Professions élémentaires,Centre-droite,Élevée,Rarement
2,71+,13-15,AT,Autre,Professions intellectuelles,Centre-droite,Élevée,Régulièrement
1,56-70,9-12,AT,Autre,Opérateurs/Assembleurs,Centre-gauche,Très faible,Quotidiennement
1,56-70,16-20,AT,Employé,Professions intellectuelles,Centre-gauche,Faible,Quotidiennement
1,71+,13-15,AT,Autre,Agriculture/Pêche,Gauche,Très élevée,Rarement
1,41-55,13-15,AT,Employé,Cadres/Dirigeants,Droite,Faible,Quotidiennement
2,71+,9-12,AT,Autre,Employés administratifs,Centre-gauche,Faible,Rarement
2,41-55,9-12,AT,Autre,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
2,71+,<9,AT,Autre,Agriculture/Pêche,Centre-gauche,Très élevée,Rarement
2,56-70,9-12,AT,Autre,Services/Vente,Centre-droite,Très faible,Régulièrement
1,56-70,9-12,AT,Autre,Artisans/Métiers,Centre-gauche,Très élevée,Rarement
1,26-40,9-12,AT,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,26-40,20+,AT,Employé,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Employés administratifs,Centre-droite,Élevée,Régulièrement
2,71+,<9,AT,Autre,Services/Vente,Centre-gauche,Très élevée,Rarement
1,56-70,16-20,AT,Autre,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
2,26-40,13-15,AT,Autre,Services/Vente,Gauche,Très faible,Quotidiennement
1,26-40,9-12,AT,Employé,Opérateurs/Assembleurs,Centre-gauche,Élevée,Régulièrement
2,41-55,13-15,AT,Employé,Services/Vente,Centre-droite,Très faible,Quotidiennement
2,26-40,9-12,AT,Employé,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
1,56-70,13-15,AT,Employé,Artisans/Métiers,Centre-gauche,Élevée,Régulièrement
1,56-70,9-12,AT,Autre,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
2,56-70,16-20,AT,Autre,Employés administratifs,Gauche,Très faible,Rarement
1,56-70,9-12,AT,Employé,Artisans/Métiers,Gauche,Élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Cadres/Dirigeants,Centre-gauche,Très élevée,Quotidiennement
2,18-25,9-12,AT,Autre,Agriculture/Pêche,Centre-gauche,Très élevée,Quotidiennement
1,18-25,9-12,AT,Autre,Agriculture/Pêche,Centre-gauche,Élevée,Quotidiennement
1,41-55,9-12,AT,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
2,71+,9-12,AT,Autre,Artisans/Métiers,Centre-gauche,Élevée,Quotidiennement
1,18-25,9-12,AT,Autre,Professions élémentaires,Centre-droite,Très élevée,Quotidiennement
1,41-55,9-12,AT,Employé,Artisans/Métiers,Centre-gauche,Élevée,Quotidiennement
1,41-55,<9,AT,Employé,Opérateurs/Assembleurs,Centre-droite,Faible,Quotidiennement
2,56-70,<9,AT,Employé,Professions élémentaires,Centre-gauche,Très faible,Quotidiennement
2,41-55,9-12,AT,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
2,71+,<9,AT,Autre,Professions élémentaires,Centre-gauche,Très élevée,Rarement
1,41-55,13-15,AT,Employé,Agriculture/Pêche,Centre-gauche,Très élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Services/Vente,Droite,Très faible,Quotidiennement
1,71+,9-12,AT,Autre,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
1,41-55,13-15,AT,Employé,Services/Vente,Centre-droite,Très élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
1,26-40,9-12,AT,Employé,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Services/Vente,Centre-droite,Très élevée,Quotidiennement
2,56-70,13-15,AT,Autre,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,56-70,9-12,AT,Employé,Professions intermédiaires,Centre-droite,Faible,Quotidiennement
1,26-40,9-12,AT,Employé,Artisans/Métiers,Centre-gauche,Élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Services/Vente,Centre-gauche,Faible,Quotidiennement
2,26-40,16-20,AT,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
1,56-70,9-12,AT,Autre,Professions élémentaires,Centre-gauche,Élevée,Régulièrement
2,26-40,9-12,AT,Autre,Professions élémentaires,Gauche,Faible,Quotidiennement
2,71+,<9,AT,Autre,Artisans/Métiers,Centre-droite,Élevée,Rarement
2,56-70,13-15,AT,Employé,Employés administratifs,Centre-gauche,Faible,Quotidiennement
2,56-70,20+,AT,Autre,Agriculture/Pêche,Gauche,Très faible,Quotidiennement
1,71+,9-12,AT,Autre,Services/Vente,Centre-gauche,Faible,Rarement
1,71+,13-15,AT,Autre,Cadres/Dirigeants,Droite,Élevée,Quotidiennement
1,71+,<9,AT,Autre,Agriculture/Pêche,Centre-droite,Élevée,Rarement
2,71+,9-12,AT,Autre,Services/Vente,Centre-gauche,Élevée,Rarement
2,56-70,9-12,AT,Autre,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Services/Vente,Gauche,Élevée,Quotidiennement
1,56-70,16-20,AT,Employé,Professions intellectuelles,Centre-droite,Élevée,Quotidiennement
1,41-55,20+,AT,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
1,41-55,9-12,AT,Employé,Professions élémentaires,Gauche,Très élevée,Rarement
2,41-55,16-20,AT,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
1,71+,13-15,AT,Autre,Professions intermédiaires,Centre-gauche,Faible,Quotidiennement
1,41-55,20+,AT,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
2,71+,9-12,AT,Autre,Services/Vente,Centre-gauche,Élevée,Rarement
1,18-25,13-15,AT,Chômeur,Professions élémentaires,Centre-droite,Très élevée,Quotidiennement
1,71+,9-12,AT,Autre,Artisans/Métiers,Centre-gauche,Faible,Rarement
2,71+,9-12,AT,Autre,Agriculture/Pêche,Centre-gauche,Élevée,Rarement
1,71+,9-12,AT,Autre,Employés administratifs,Gauche,Très faible,Rarement
2,71+,9-12,AT,Autre,Professions intellectuelles,Centre-gauche,Élevée,Rarement
2,26-40,16-20,AT,Employé,Professions intermédiaires,Gauche,Élevée,Quotidiennement
2,26-40,9-12,AT,Employé,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
1,41-55,9-12,AT,Employé,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
1,26-40,13-15,AT,Employé,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
1,18-25,<9,AT,Employé,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,71+,<9,AT,Autre,Employés administratifs,Centre-gauche,Élevée,Régulièrement
1,56-70,9-12,AT,Autre,Services/Vente,Centre-droite,Élevée,Régulièrement
1,71+,<9,AT,Autre,Agriculture/Pêche,Centre-gauche,Faible,Rarement
2,56-70,9-12,AT,Autre,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
2,71+,<9,AT,Autre,Artisans/Métiers,Centre-gauche,Très élevée,Rarement
2,18-25,9-12,AT,Chômeur,Agriculture/Pêche,Centre-droite,Très élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Professions élémentaires,Centre-gauche,Faible,Rarement
2,71+,<9,AT,Autre,Professions élémentaires,Centre-gauche,Très élevée,Régulièrement
2,26-40,9-12,AT,Employé,Services/Vente,Gauche,Très élevée,Quotidiennement
1,41-55,13-15,AT,Employé,Cadres/Dirigeants,Gauche,Très élevée,Quotidiennement
2,41-55,13-15,AT,Employé,Employés administratifs,Gauche,Très élevée,Quotidiennement
2,71+,9-12,AT,Autre,Professions intermédiaires,Centre-gauche,Élevée,Régulièrement
1,18-25,13-15,AT,Autre,Agriculture/Pêche,Gauche,Très élevée,Quotidiennement
2,26-40,13-15,AT,Chômeur,Professions élémentaires,Gauche,Faible,Régulièrement
2,41-55,13-15,AT,Employé,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
1,71+,9-12,AT,Autre,Professions intellectuelles,Gauche,Très faible,Quotidiennement
2,41-55,9-12,AT,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
2,26-40,9-12,AT,Employé,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
2,56-70,9-12,AT,Employé,Professions intellectuelles,Centre-gauche,Élevée,Rarement
1,71+,9-12,AT,Autre,Professions élémentaires,Centre-gauche,Élevée,Rarement
2,18-25,16-20,AT,Employé,Services/Vente,Gauche,Faible,Quotidiennement
2,41-55,13-15,AT,Employé,Professions élémentaires,Centre-gauche,Élevée,Quotidiennement
2,18-25,13-15,AT,Employé,Professions intermédiaires,Gauche,Élevée,Quotidiennement
1,18-25,<9,AT,Employé,Professions élémentaires,Centre-gauche,Faible,Quotidiennement
2,18-25,9-12,AT,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
2,71+,<9,AT,Autre,Artisans/Métiers,Centre-gauche,Faible,Rarement
2,56-70,16-20,AT,Employé,Cadres/Dirigeants,Centre-gauche,Faible,Quotidiennement
1,71+,9-12,AT,Autre,Agriculture/Pêche,Centre-droite,Élevée,Rarement
2,71+,9-12,AT,Autre,Employés administratifs,Centre-gauche,Très élevée,Rarement
2,71+,<9,AT,Autre,Services/Vente,Centre-gauche,Élevée,Rarement
2,26-40,9-12,AT,Employé,Services/Vente,Gauche,Très élevée,Quotidiennement
2,26-40,16-20,AT,Employé,Cadres/Dirigeants,Gauche,Faible,Quotidiennement
2,56-70,13-15,AT,Autre,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
2,18-25,<9,AT,Autre,Agriculture/Pêche,Centre-gauche,Très élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,26-40,9-12,AT,Employé,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
1,56-70,9-12,AT,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
2,71+,<9,AT,Autre,Services/Vente,Centre-gauche,Faible,Quotidiennement
2,41-55,13-15,AT,Employé,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
2,26-40,<9,AT,Employé,Services/Vente,Centre-droite,Faible,Quotidiennement
2,71+,9-12,AT,Autre,Employés administratifs,Centre-gauche,Faible,Quotidiennement
1,26-40,9-12,AT,Employé,Artisans/Métiers,Droite,Élevée,Quotidiennement
2,71+,9-12,AT,Autre,Agriculture/Pêche,Centre-gauche,Élevée,Rarement
1,56-70,13-15,AT,Employé,Services/Vente,Droite,Faible,Quotidiennement
2,56-70,<9,AT,Autre,Professions élémentaires,Centre-droite,Très faible,Quotidiennement
1,56-70,13-15,AT,Employé,Services/Vente,Centre-droite,Faible,Quotidiennement
2,56-70,9-12,AT,Employé,Professions élémentaires,Droite,Faible,Rarement
1,56-70,<9,AT,Chômeur,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,71+,<9,AT,Autre,Agriculture/Pêche,Centre-gauche,Très élevée,Rarement
2,41-55,13-15,AT,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
2,56-70,9-12,AT,Autre,Professions élémentaires,Gauche,Élevée,Quotidiennement
1,71+,13-15,AT,Autre,Artisans/Métiers,Droite,Très élevée,Quotidiennement
2,41-55,9-12,AT,Employé,Employés administratifs,Gauche,Très élevée,Quotidiennement
1,41-55,20+,AT,Employé,Professions intermédiaires,Centre-droite,Élevée,Quotidiennement
2,26-40,16-20,AT,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
2,56-70,9-12,AT,Employé,Cadres/Dirigeants,Centre-gauche,Très élevée,Quotidiennement
1,41-55,16-20,AT,Employé,Artisans/Métiers,Droite,Très élevée,Quotidiennement
2,71+,<9,AT,Autre,Agriculture/Pêche,Centre-droite,Élevée,Rarement
1,41-55,16-20,AT,Employé,Professions intellectuelles,Droite,Très élevée,Quotidiennement
1,71+,13-15,AT,Autre,Artisans/Métiers,Centre-gauche,Très élevée,Quotidiennement
1,56-70,9-12,AT,Employé,Artisans/Métiers,Centre-droite,Élevée,Quotidiennement
1,26-40,9-12,AT,Employé,Professions intermédiaires,Centre-droite,Très élevée,Régulièrement
2,56-70,<9,AT,Autre,Professions élémentaires,Centre-gauche,Élevée,Rarement
